key,scene,variant,spp,warmup,averaging,rays_traced_pct,coldmiss_pct,timestamp
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__pos1,CornellBox_1AreaLight,pos_norm1__pos1,1,1,1,24.2493,0.2023,2026-03-28T00:09:06
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__pos1,CornellBox_1AreaLight,pos_norm1__pos1,16,1,1,21.6720,0.1601,2026-03-28T00:09:27
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__dir1_dist1,CornellBox_1AreaLight,pos_norm1__dir1_dist1,1,1,1,24.5712,0.2023,2026-03-28T00:09:42
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__dir1_dist1,CornellBox_1AreaLight,pos_norm1__dir1_dist1,16,1,1,21.6668,0.1588,2026-03-28T00:10:06
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__pos,CornellBox_1AreaLight,pos_norm1__pos,1,1,1,44.4962,3.8797,2026-03-28T00:10:23
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__pos,CornellBox_1AreaLight,pos_norm1__pos,16,1,1,19.4440,0.1865,2026-03-28T00:10:41
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__dir_dist1,CornellBox_1AreaLight,pos_norm1__dir_dist1,1,1,1,35.0060,3.9149,2026-03-28T00:10:57
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__dir_dist1,CornellBox_1AreaLight,pos_norm1__dir_dist1,16,1,1,21.0469,0.3045,2026-03-28T00:11:13
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__dir_dist,CornellBox_1AreaLight,pos_norm1__dir_dist,1,1,1,38.1199,5.6798,2026-03-28T00:11:29
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__dir_dist,CornellBox_1AreaLight,pos_norm1__dir_dist,16,1,1,21.5606,0.3816,2026-03-28T00:11:42
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__pos1,CornellBox_1PointLight,pos_norm1__pos1,1,1,1,19.5084,0.1542,2026-03-28T00:12:00
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm1__pos1,CornellBox_1PointLight,pos_norm1__pos1,16,1,1,13.0256,0.1397,2026-03-28T00:12:20
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__dir1_dist1,CornellBox_1PointLight,pos_norm1__dir1_dist1,1,1,1,19.2757,0.1449,2026-03-28T00:12:31
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm1__dir1_dist1,CornellBox_1PointLight,pos_norm1__dir1_dist1,16,1,1,13.0885,0.1345,2026-03-28T00:12:45
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__pos,CornellBox_1PointLight,pos_norm1__pos,1,1,1,19.2131,0.1444,2026-03-28T00:12:54
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm1__pos,CornellBox_1PointLight,pos_norm1__pos,16,1,1,13.0989,0.1420,2026-03-28T00:13:04
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__dir_dist1,CornellBox_1PointLight,pos_norm1__dir_dist1,1,1,1,22.3728,0.2916,2026-03-28T00:13:13
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm1__dir_dist1,CornellBox_1PointLight,pos_norm1__dir_dist1,16,1,1,13.3865,0.2934,2026-03-28T00:13:22
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__dir_dist,CornellBox_1PointLight,pos_norm1__dir_dist,1,1,1,22.3248,0.3478,2026-03-28T00:13:31
